Colours, Stop, Stop Crab, Breaking Crabs, 2x Snap Gates, Kroll, Hand Ascender, Ascender Meillon, Chest 
Tape, Foot Loop, Bag, Date of Last Check
Yellow, Y, Y, Y, x1 Only, Y, Y, Y, Y, Y, Y, 05/2018
White, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y, 05/2018
Brown, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y, 05/2018
None, Y, Y, Y, Y, Y, Y, Y, Y, Y, Y, 05/2018
Orange, Y, Y, Y, N, Y, Y, Y, Y, Y, Y, 05/2018
Black, Y, Y, Y, N, Y, Y, Y, N, Y, Y - 'A bit Fucked', 05/2018

